species,genus,binom,family,order,class
cuspidatum,Sphagnum,Sphagnum cuspidatum,Sphagnaceae,Sphagnales,Sphagnopsida
clangula,Bucephala,Bucephala clangula,Anatidae,Anseriformes,Aves
abies,Picea,Picea abies,Pinaceae,Pinales,Pinopsida
maritius,Drycopus,Drycopus maritius,NA,NA,NA
NA,Betu,Betu ,NA,NA,NA
perdix,Perdix,Perdix perdix,Phasianidae,Galliformes,Aves
palumbus,Columba,Columba palumbus,Columbidae,Columbiformes,Aves
arvensis,Alauda,Alauda arvensis,Alaudidae,Passeriformes,Aves
cannabina,Carduelis,Carduelis cannabina,NA,NA,NA
coelebs,Fringilla,Fringilla coelebs,Fringillidae,Passeriformes,Aves
schoeniclus,Emberiza,Emberiza schoeniclus,Emberizidae,Passeriformes,Aves
calandra,Miliaria,Miliaria calandra,NA,NA,NA
spp.,Lolium,Lolium spp.,NA,NA,NA
spp.,Triticum,Triticum spp.,NA,NA,NA
spp.,Hordeum,Hordeum spp.,NA,NA,NA
NA,Loli,Loli ,NA,NA,NA
NA,Tritic,Tritic ,NA,NA,NA
NA,Horde,Horde ,NA,NA,NA
tenuis,Trichostrongylus,Trichostrongylus tenuis,NA,NA,NA
pratense,Trifolium,Trifolium pratense,Fabaceae,Fabales,Magnoliopsida
alba,Agrostis,Agrostis alba,Poaceae,Poales,Liliopsida
arundinacea,Festuca,Festuca arundinacea,Poaceae,Poales,Liliopsida
cuneata,Lespedeza,Lespedeza cuneata,Fabaceae,Fabales,Magnoliopsida
pseudoacacia,Robinia,Robinia pseudoacacia,Fabaceae,Fabales,NA
italica,Setaria,Setaria italica,Poaceae,Poales,NA
cereale,Secale,Secale cereale,Poaceae,Poales,Liliopsida
strobus,Pinus,Pinus strobus,Pinaceae,Pinales,Pinopsida
corniculatus,Lotus,Lotus corniculatus,Fabaceae,Fabales,NA
pubescens,Betula,Betula pubescens,Betuloideae,Fagales,Magnoliopsida
ulmaria,Filipendula,Filipendula ulmaria,Rosaceae,Rosales,Magnoliopsida
autumnalis,Leontodon,Leontodon autumnalis,Asteraceae,Asterales,Magnoliopsida
acuta,Carex,Carex acuta,Cyperaceae,Poales,Liliopsida
melanarius,Pterostichus,Pterostichus melanarius,Carabidae,Coleoptera,NA
lampros,Bembidion,Bembidion lampros,Carabidae,Coleoptera,Insecta
dorsale,Agonum,x,Carabidae,Coleoptera,NA
aparine,Galium,Galium aparine,Rubiaceae,Gentianales,Magnoliopsida
henslowii,Ammodramus,Ammodramus henslowii,Passerellidae,Passeriformes,Aves
americana,Spiza,Spiza americana,Cardinalidae,Passeriformes,Aves
gerardii,Andropogon,Andropogon gerardii,Poaceae,Poales,Liliopsida
nutans,Sorghastrum,Sorghastrum nutans,Poaceae,Poales,Liliopsida
canescens,Amorpha,Amorpha canescens,Fabaceae,Fabales,Magnoliopsida
scoparium,Schizachyrium,Schizachyrium scoparium,Poaceae,Poales,Liliopsida
NA,Dal,Dal ,NA,NA,NA
tremuloides,Populus,Populus tremuloides,Saliaceae,Malphigiales,Magnoliopsida
canadensis,Cervus,Cervus canadensis,Cervidae,Artiodactyla,Mammalia
canadensis,Castor,Castor canadensis,Castoridae,Rodentia,Mammalia
viginianus,Odocoileus,Odocoileus viginianus,NA,NA,NA
esula,Euphorbia,Euphorbia esula,Euphorbiaceae,Malpighiales,Magnoliopsida
catharcticum,Rhamnus,Rhamnus catharcticum,Rhamnaceae,Rosales ,Magnoliopsida 
allegheniensis,Rubus,Rubus allegheniensis,Rosaceae,Rosales,Magnoliopsida
tarandus,Rangifer,Rangifer tarandus,Cervidae,Artiodactyla,Mammalia
flabellata,Poa,Poa flabellata,Poaceae,Poales,NA
magellanica,Acaena,Acaena magellanica,Rosaceae,Rosales,Magnoliopsida
annua,Poa,Poa annua,Poaceae,Poales,NA
apicalis,Parantechinus,Parantechinus apicalis,Dasyuridae,Dasyuromorphia,Mammalia
musculus,Mus,Mus musculus,Muridae,Rodentia,Mammalia
pacificus,Puffinus,Puffinus pacificus,NA,NA,NA
castro,Oceanodroma,Oceanodroma castro,Hydrobatidae,Procellariiformes,Aves
diomedea,Calonectris,Calonectris diomedea,Procellariidae,Procellariiformes,Aves
NA,Ratt,Ratt ,NA,NA,NA
adelaidensis,Tiliqua,Tiliqua adelaidensis,NA,NA,NA
urogallus,Tetrao,Tetrao urogallus,Phasianidae,Galliformes,Aves
myrtillus,Vaccinium,Vaccinium myrtillus,Ericaceae,Ericales,NA
vitis,Vaccinium,Vaccinium vitis,Ericaceae,Ericales,NA
vulpes,Vulpes,Vulpes vulpes,Canidae,Carnivora,Mammalia
corone,Corvus,Corvus corone,Corvidae,Passeriformes,Aves
elaphus,Cervus,Cervus elaphus,Cervidae,Artiodactyla,Mammalia
taeda,Pinus,Pinus taeda,Pinaceae,Pinales,Pinopsida
styraciflua,Liquidamber,Liquidamber styraciflua,NA,NA,NA
rubrum,Acer,Acer rubrum,Sapindaceae,Sapindales,Magnoliopsida
rotudifolia,Smilax,Smilax rotudifolia,NA,NA,NA
radicans,Toxicodendron,Toxicodendron radicans,Anacardiaceae,Sapindales,Magnoliopsida
quinquefolia,Parthenocissus,Parthenocissus quinquefolia,Vitaceae,Vitales,Magnoliopsida
carolinensis,Peromyscus,Peromyscus carolinensis,NA,NA,NA
carolinensis,Blarina,Blarina carolinensis,NA,NA,NA
nuttalli,Ochrotomys,Ochrotomys nuttalli,Cricetidae,Rodentia,Mammalia
palustris,Oryzomys,Oryzomys palustris,Cricetidae,Rodentia,Mammalia
torquatus,Bradypus,Bradypus torquatus,Bradypus,Pilosa,Mammalia
saligna,Acacia,Acacia saligna,Mimosaceae,Fabales,NA
calycina,Erhata,Erhata calycina,NA,NA,NA
calycina,Erharta,Erharta calycina,NA,NA,NA
vulgaris,Prunella,Prunella vulgaris,Lamiaceae,Lamiales,Magnoliopsida
nigra,Centaurea,Centaurea nigra,Asteraceae,Asterales,NA
hispidus,Leontodon,Leontodon hispidus,Asteraceae,Asterales,Magnoliopsida
radicata,Hypochoeris,Hypochoeris radicata,Asteraceae,Asterales,Magnoliopsida
dubium,Trifolium,Trifolium dubium,Fabaceae,Fabales,Magnoliopsida
vulgare,Leucanthemum,Leucanthemum vulgare,Asteraceae,Asterales,Magnoliopsida
millefolium,Achillea,Achillea millefolium,Asteraceae,Asterales,NA
macao,Ara,Ara macao,Psittacidae,Psittaciformes,Aves
bailleui,Loxioides,Loxioides bailleui,Fringillidae,Passeriformes,Aves
chrysophylla,Sophora,Sophora chrysophylla,Fabaceae,Fabales,Magnoliopsida
catus,Felis,Felis catus,Felidae,Carnivora,Mammalia
rubra,Quercus,Quercus rubra,Fagaceae,Fagales,NA
alba,Quercus,Quercus alba,Fagaceae,Fagales,NA
palustris,Quercus,Quercus palustris,Fagaceae,Fagales,NA
tulipifera,Liriodendron,Liriodendron tulipifera,Magnoliaceae,Magnoliales,Magnoliopsida
noctivagans,Lasioncyteris,Lasioncyteris noctivagans,Vespertilionidae,Chiroptera,NA
lucifugus,Myotis,Myotis lucifugus,Vespertilionidae,Chiroptera,NA
europaeus,Erinaceus,Erinaceus europaeus,Erinaceinae,Erinaceomorpha,Mammalia
vanellus,Vanellus,Vanellus vanellus,Charadriidae,Charadriiformes,Aves
alpina,Calidris,Calidris alpina,Scolopacidae,Charadriiformes,Aves
totanus,Tringa,Tringa totanus,Scolopacidae,Charadriiformes,Aves
gallinago,Gallinago,Gallinago gallinago,Scolopacidae,Charadriiformes,Aves
canus,Larus,Larus canus,Laridae,Charadriiformes,Aves
jubatum,Hordeum,Hordeum jubatum,Poaceae,Poales,NA
marina,Spergularia,Spergularia marina,Caryophyllaceae,Caryophyllales,Magnoliopsida
europaea,Salicornia,Salicornia europaea,Chenopodiaceae,Caryophyllales,Magnoliopsida
prostrata,Atriplex,Atriplex prostrata,Chenopodiaceae,Caryophyllales,Magnoliopsida
calceoliformis,Suaeda,Suaeda calceoliformis,Chenopodiaceae,Caryophyllales,Magnoliopsida
serrulata,Serenoa,Serenoa serrulata,Arecaceae,Arecales,Amphibia
cerifera,Myrica,Myrica cerifera,Myricaceae,Fagales,Magnoliopsida
coriacea,Ilex,Ilex coriacea,Ilex,Aquifoliales,Magnoliopsida
and,Forest Ecology,Forest Ecology and,NA,NA,NA
aluco,Strix,Strix aluco,Strigidae,Strigiformes,Aves
scrofa,Sus,Sus scrofa,Suidae,Artiodactyla,Mammalia
officinalis,Borago,Borago officinalis,Borago,Boraginales,Magnoliopsida
ochrocephala,Viola,Viola ochrocephala,NA,NA,NA
campestre,Bombus,Bombus campestre,Apidae,Hymenoptera,Insecta
NA,Bomb,Bomb ,NA,NA,NA
NA,Cirsi,Cirsi ,NA,NA,NA
calandra,Milaria,Milaria calandra,NA,NA,NA
scoparius,Cytisus,Cytisus scoparius,Fabaceae,Fabales,NA
ursinus,Vombatus,Vombatus ursinus,Vombatidae,Diprotodontia,Mammalia
aquatica,Phalaris,Phalaris aquatica,Poaceae,Poales,Liliopsida
labillardieri,Poa,Poa labillardieri,Poaceae,Poales,NA
stipoides,Microlaena,Microlaena stipoides,Poaceae,Poales,Liliopsida
australis,Themeda,Themeda australis,NA,NA,NA
discolor,Rubus,Rubus discolor,Rosaceae,Rosales,Magnoliopsida
gaudichaudiana,Carex,Carex gaudichaudiana,Cyperaceae,Poales,Liliopsida
hirundo,Sterna,Sterna hirundo,Laridae,Charadriiformes,Aves
marinus,Larus,Larus marinus,Laridae,Charadriiformes,Aves
brachyrhynchus,Anser,Anser brachyrhynchus,Anatidae,Anseriformes,Aves
brachyrynchus,Anser,Anser brachyrynchus,NA,NA,NA
NA,Ans,Ans ,NA,NA,NA
corne,Corvus,Corvus corne,NA,NA,NA
spp.,Rattus,Rattus spp.,NA,NA,NA
cyaneus,Circus,Circus cyaneus,Circus,Accipitriformes,Aves
achine,Lopinga,Lopinga achine,Nymphalidae,Lepidoptera,Insecta
montana,Carex,Carex montana,Cyperaceae,Poales,Liliopsida
clandestina,Podosphaera,Podosphaera clandestina,Erysiphaceae,Erysiphales,Leotiomycetes
hookeriana,Banksia,Banksia hookeriana,NA,NA,NA
funereus,Calyptorhynchus,Calyptorhynchus funereus,Cacatuidae,Psittaciformes,Aves
major,Dendrocopos,Dendrocopos major,Picidae,Piciformes,Aves
meridionalis,Nestor,Nestor meridionalis,Strigopidae,Psittaciformes,Aves
vulpecula,Trichosurus,Trichosurus vulpecula,Phalangeridae,Diprotodontia,Mammalia
erminea,Mustela,Mustela erminea,Mustelidae,Carnivora,Mammalia
erminea,Mustela,Mustela erminea,NA,NA,NA
dissectum,Geranium,Geranium dissectum,Geraniaceae,Geraniales,Magnoliopsida
vulgare,Cirsium,Cirsium vulgare,Asteraceae,Asterales,Magnoliopsida
secalinum,Hordeum,Hordeum secalinum,Poaceae,Poales,NA
fontanum,Cerastium,Cerastium fontanum,Caryophyllaceae,Caryophyllales,Magnoliopsida
offinale,Taraxacum,Taraxacum offinale,NA,NA,NA
NA,Ranuncul,Ranuncul ,NA,NA,NA
habroptilus,Strigops,Strigops habroptilus,NA,NA,NA
batatas,Ipomoea,Ipomoea batatas,Convolvulaceae,Solanales,Magnoliopsida
domestica,Malus,Malus domestica,Rosaceae,Rosales,Magnoliopsida
ochrocephala,Mohoua,Mohoua ochrocephala,Mohouidae,Passeriformes,Aves
rattus,Rattus,Rattus rattus,Muridae,Rodentia,Mammalia
urticae,Aglais,Aglais urticae,Nymphalidae,Lepidoptera,Insecta
urticae,Dasineura,Dasineura urticae,Cecidomyiidae,Diptera,Insecta
urticae,Trioza,Trioza urticae,Triozidae,Hemiptera,Insecta
atalanta,Vanessa,Vanessa atalanta,Nymphalidae,Lepidoptera,Insecta
fabricana,Anthophila,Anthophila fabricana,NA,NA,NA
ruralis,Pleuroptya,Pleuroptya ruralis,Crambidae,Lepidoptera,Insecta
tripustulatus,Liocoris,Liocoris tripustulatus,Miridae,Hemiptera,Insecta
atrocaerulea,Hirundo,Hirundo atrocaerulea,Hirundinidae,Passeriformes,Aves
afer,Orycteropus,Orycteropus afer,Orycteropodidae,Tubulidentata,Mammalia
cristatus,Parus,Parus cristatus,NA,NA,NA
major,Dendrocopus,Dendrocopus major,NA,NA,NA
ater,Parus,Parus ater,NA,NA,NA
caeruleus,Parus,Parus caeruleus,NA,NA,NA
fasciiventer,Parus,Parus fasciiventer,NA,NA,NA
gorilla,Gorilla,Gorilla gorilla,Hominidae,Primates,Mammalia
canadensis,Branta,Branta canadensis,Anatidae,Anseriformes,Aves
auritus,Phalacrocorax,Phalacrocorax auritus,Phalacrocorax,Suliformes,Aves
delawarensis,Larus,Larus delawarensis,Laridae,Charadriiformes,Aves
nisus,Accipiter,Accipiter nisus,Accipiter,Accipitriformes,Aves
carolinensis,Scirus,Scirus carolinensis,NA,NA,NA
australis,Phragmites,Phragmites australis,Poaceae,Poales,Magnoliopsida
otus,Asio,Asio otus,Strigidae,Strigiformes,Aves
pica,Pica,Pica pica,Corvidae,Passeriformes,Aves
cinerea,Salix,Salix cinerea,Salicaceae,Malpighiales,Magnoliopsida
viminalis,Salix,Salix viminalis,Salicaceae,Malpighiales,Magnoliopsida
fragilis,Salix,Salix fragilis,Salicaceae,Malpighiales,Magnoliopsida
cervus,Leucanus,Leucanus cervus,NA,NA,NA
anser,Anser,Anser anser,Anatidae,Anseriformes,Aves
communis,Phragamites,Phragamites communis,NA,NA,NA
communis,Phragmites,Phragmites communis,Poaceae,Poales,Magnoliopsida
spinolae,Callicera,Callicera spinolae,NA,NA,NA
campestre,Acer,Acer campestre,Sapindaceae,Sapindales,Magnoliopsida
sylvatica,Fagus,Fagus sylvatica,Fagaceae,Fagales,Magnoliopsida
hippocastanum,Aesculus,Aesculus hippocastanum,Sapindaceae,Sapindales,Magnoliopsida
florae,Myathropa,Myathropa florae,NA,NA,NA
vulgaris,Sciurus,Sciurus vulgaris,Sciuridae,Rodentia,Mammalia
hortorum,Bombus,Bombus hortorum,Apidae,Hymenoptera,Insecta
mydas,Chelonia,Chelonia mydas,Cheloniidae,Testudines,Reptilia
salvator,Varanus,Varanus salvator,Varanidae,Squamata,Reptilia
cumingii,Megapodius,Megapodius cumingii,NA,NA,NA
indicus,Haliastus,Haliastus indicus,NA,NA,NA
haliaetus,Pandion,Pandion haliaetus,Pandionidae,NA,NA
leucogaster,Haliaetus,Haliaetus leucogaster,NA,NA,NA
sacra,Egretta,Egretta sacra,Ardeidae,Pelecaniformes,Aves
philomelos,Turdus,Turdus philomelos,Turdidae,Passeriformes,Aves
pacificus,Hoplodactylus,Hoplodactylus pacificus,NA,NA,NA
exulans,Rattus,Rattus exulans,Muridae,Rodentia,Mammalia
punctatus,Sphenodon,Sphenodon punctatus,Sphenodon,Rhynchocephalia,Reptilia
macgregori,Cyclodina,Cyclodina macgregori,NA,NA,NA
okohinau,Cyclodina,Cyclodina okohinau,NA,NA,NA
chrysosireticus,Hoplodactylus,Hoplodactylus chrysosireticus,NA,NA,NA
rugosa,Deinacrida,Deinacrida rugosa,NA,NA,NA
mantelli,Porphyrio,Porphyrio mantelli,Rallidae,Gruiformes,Aves
fairburni,Anagotus,Anagotus fairburni,NA,NA,NA
novaeseelandiae,Thinornis,Thinornis novaeseelandiae,Charadriidae,Charadriiformes,Aves
novaeseelandiae,Ninox,Ninox novaeseelandiae,Strigidae,Strigiformes,Aves
vulgaris,Scirius,Scirius vulgaris,NA,NA,NA
caboti,Tragopan,Tragopan caboti,Phasianidae,Galliformes,Aves
mantegazzianum,Heracleum,Heracleum mantegazzianum,Apiaceae,Apiales,Magnoliopsida
dubia,Leucorrhinia,Leucorrhinia dubia,Libellulidae,Odonata,Insecta
garryana,Quercus,Quercus garryana,Fagaceae,Fagales,NA
quamash,Camassia,Camassia quamash,Asparagaceae,Asparagales,Liliopsida
odorata,Cedrella,Cedrella odorata,NA,NA,NA
NA,Ireart,Ireart ,NA,NA,NA
macoa,Ara,Ara macoa,NA,NA,NA
ovata,Rhus,Rhus ovata,Anacardiaceae,Sapindales,Magnoliopsida
nigra,Brassica,Brassica nigra,Brassicaceae,Brassicales,Magnoliopsida
vulgare,Foeniculum,Foeniculum vulgare,Apiaceae,Apiales,NA
aries,Ovis,Ovis aries,Bovidae,Artiodactyla,Mammalia
taurus,Bos,Bos taurus,Bovidae,Artiodactyla,Mammalia
barbata,Avena,Avena barbata,Poaceae,Poales,Liliopsida
diandrus,Bromus,Bromus diandrus,Poaceae,Poales,NA
murinum,Hordeum,Hordeum murinum,Poaceae,Poales,NA
solstitialis,Centaurea,Centaurea solstitialis,Asteraceae,Asterales,NA
cicutarium,Erodium,Erodium cicutarium,Geraniaceae,Geraniales,Magnoliopsida
carinatus,Bromus,Bromus carinatus,Poaceae,Poales,NA
glaucus,Elymus,Elymus glaucus,Poaceae,Poales,Liliopsida
pulchra,Nassella,Nassella pulchra,NA,NA,NA
menziesii,Amsinckia,Amsinckia menziesii,Amsinckia,Boraginales,Magnoliopsida
fasciculate,Hemizonia,Hemizonia fasciculate,NA,NA,NA
bicolor,Lupinus,Lupinus bicolor,Fabaceae,Fabales,Magnoliopsida
hordeaceus,Bromus,Bromus hordeaceus,Poaceae,Poales,NA
macrocarpa,Marah,Marah macrocarpa,Cucurbitaceae,Cucurbitales,Magnoliopsida
pirifolia,Rhamnus,Rhamnus pirifolia,Rhamnaceae,Rosales ,Magnoliopsida 
mykiss,Oncorhynchus,Oncorhynchus mykiss,Salmonidae,Salmoniformes,Actinopterygii
fontinalis,Salvelinus,Salvelinus fontinalis,Salmonidae,Salmoniformes,Actinopterygii
muscosa,Rana,Rana muscosa,Ranidae,Anura,Amphibia
domesticus,Gallus,Gallus domesticus,NA,NA,NA
californicus,Larus,Larus californicus,Laridae,Charadriiformes,Aves
lotor,Procyon,Procyon lotor,Procyonidae,Carnivora,Mammalia
mephitis,Mephitis,Mephitis mephitis,Mephitidae,Carnivora,Mammalia
latrans,Canis,Canis latrans,Canidae,Carnivora,Mammalia
NA,Microt,Microt ,NA,NA,NA
NA,Ment,Ment ,NA,NA,NA
spinosa,Prunus,Prunus spinosa,Rosaceae,Rosales,Magnoliopsida
canina,Rosa,Rosa canina,Rosaceae,Rosales,NA
arctica,Gavia,Gavia arctica,Gaviidae,Gaviiformes,Aves
NA,Eriophor,Eriophor ,NA,NA,NA
NA,Trichophor,Trichophor ,NA,NA,NA
vauxi,Chaetura,Chaetura vauxi,Apodidae,Apodiformes,Aves
grandis,Abies,Abies grandis,Abies grandis,Abies,Pinaceae
pileatus,Dryocopus,Dryocopus pileatus,Picidae,Piciformes,Aves
occidentalis,Choristoneura,Choristoneura occidentalis,Tortricidae,Lepidoptera,Insecta
ponderosa,Pinus,Pinus ponderosa,Pinaceae,Pinales,Pinopsida
sabrinus,Glaucomys,Glaucomys sabrinus,Sciuridae,Rodentia,Mammalia
auratus,Colaptes,Colaptes auratus,Picidae,Piciformes,Aves
salicaria,Lythrum,Lythrum salicaria,Lythraceae,Myrtales,Magnoliopsida
calmariensis,Galerucella,Galerucella calmariensis,Chrysomelidae,Coleoptera,Insecta
transversovittatus,Hylobius,Hylobius transversovittatus,Curculionidae,Coleoptera,Insecta
marmoratus,Nanophyes,Nanophyes marmoratus,Brentidae,Coleoptera,Insecta
brevis,Neolamprologus,Neolamprologus brevis,NA,NA,NA
