folder	filename	path	width	height	xmin	ymin	xmax	ymax				name
images	22495973_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22495973_aug.jpg	488	377	14	0	486	377				Chiroptera
images	22495974_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22495974_aug.jpg	499	360	50	29	371	350				Chiroptera
images	22495975_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22495975_aug.jpg	360	482	0	0	360	482				Chiroptera
images	22495976_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22495976_aug.jpg	359	500	0	42	359	480				Chiroptera
images	22495979_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22495979_aug.jpg	498	376	41	0	457	376				Chiroptera
images	22495980_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22495980_aug.jpg	487	374	0	0	297	314				Chiroptera
images	22497196_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22497196_aug.jpg	497	316	0	60	70	141				Chiroptera
images	22497201_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22497201_aug.jpg	4314	3216	287	0	3729	3192				Chiroptera
images	22497204_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22497204_aug.jpg	1180	1591	0	0	1180	1591				Chiroptera
images	22497205_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22497205_aug.jpg	2284	3067	120	0	1991	1774				Chiroptera
images	22497284_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22497284_aug.jpg	4311	3232	735	70	3816	3151				Chiroptera
images	22497312_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22497312_aug.jpg	1584	1054	322	0	750	1054				Chiroptera
images	22666334_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22666334_aug.jpg	1724	1137	699	310	1252	861				Chiroptera
images	22666459_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22666459_aug.jpg	2032	1339	337	0	1650	1339				Chiroptera
images	22666584_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22666584_aug.jpg	859	1276	0	0	859	1276				Chiroptera
images	22742975_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22742975_aug.jpg	887	645	362	272	634	544				Chiroptera
images	22774465_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22774465_aug.jpg	4890	3261	815	45	3550	2780				Chiroptera
images	22774507_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22774507_aug.jpg	883	592	175	61	658	543				Chiroptera
images	22947144_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22947144_aug.jpg	584	437	204	17	429	242				Chiroptera
images	22992351_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22992351_aug.jpg	1585	1052	427	0	1000	520				Chiroptera
images	22992401_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22992401_aug.jpg	1055	1606	0	607	896	1531				Chiroptera
images	22992402_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22992402_aug.jpg	2026	1351	384	482	982	1080				Chiroptera
images	22992403_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22992403_aug.jpg	1347	2035	0	384	1347	1911				Chiroptera
images	22992404_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22992404_aug.jpg	2033	1352	662	539	1327	1204				Chiroptera
images	22992405_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/22992405_aug.jpg	2037	1349	277	345	1263	1332				Chiroptera
images	23049872_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23049872_aug.jpg	1010	749	0	12	1010	647				Chiroptera
images	23049889_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23049889_aug.jpg	497	667	103	151	374	422				Chiroptera
images	23049890_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23049890_aug.jpg	666	502	127	0	573	445				Chiroptera
images	23049928_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23049928_aug.jpg	744	481	100	0	670	481				Chiroptera
images	23049945_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23049945_aug.jpg	674	499	36	0	608	499				Chiroptera
images	23049949_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23049949_aug.jpg	745	495	165	0	636	495				Chiroptera
images	23049951_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23049951_aug.jpg	749	491	268	9	731	472				Chiroptera
images	23049952_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23049952_aug.jpg	756	1006	0	0	756	1006				Chiroptera
images	23276582_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23276582_aug.jpg	731	564	91	0	652	564				Chiroptera
images	23276583_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23276583_aug.jpg	735	545	156	60	561	464				Chiroptera
images	23361289_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23361289_aug.jpg	796	514	199	0	626	407				Chiroptera
images	23361954_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23361954_aug.jpg	2026	1519	748	0	1829	1519				Chiroptera
images	23362192_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23362192_aug.jpg	2025	1509	513	265	1681	1433				Chiroptera
images	23362211_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23362211_aug.jpg	2024	1520	385	0	1716	1310				Chiroptera
images	23362212_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23362212_aug.jpg	1499	1412	360	340	1369	1348				Chiroptera
images	23362491_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23362491_aug.jpg	489	374	7	0	469	374				Chiroptera
images	23362492_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23362492_aug.jpg	493	372	6	0	376	359				Chiroptera
images	23362494_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23362494_aug.jpg	492	376	90	9	416	335				Chiroptera
images	23363038_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23363038_aug.jpg	443	527	0	0	403	413				Chiroptera
images	23363604_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23363604_aug.jpg	1294	976	158	191	928	961				Chiroptera
images	23364247_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23364247_aug.jpg	2025	1516	330	0	1754	1516				Chiroptera
images	23364249_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23364249_aug.jpg	314	426	0	0	314	426				Chiroptera
images	23364613_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23364613_aug.jpg	660	526	29	0	584	526				Chiroptera
images	23364978_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23364978_aug.jpg	2029	1295	380	92	1516	1227				Chiroptera
images	23365087_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23365087_aug.jpg	2036	1298	348	0	1821	1298				Chiroptera
images	23365113_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23365113_aug.jpg	474	457	30	0	444	412				Chiroptera
images	23365321_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23365321_aug.jpg	638	458	88	25	520	456				Chiroptera
images	23367022_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23367022_aug.jpg	2037	1349	249	0	1800	1349				Chiroptera
images	23421898_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23421898_aug.jpg	1188	788	139	0	1081	788				Chiroptera
images	23421907_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23421907_aug.jpg	1189	786	82	0	897	672				Chiroptera
images	23422434_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23422434_aug.jpg	2034	1700	0	0	2034	1700				Chiroptera
images	23422473_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23422473_aug.jpg	2039	1521	0	0	1993	1521				Chiroptera
images	23422538_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23422538_aug.jpg	2034	1512	70	37	1498	1465				Chiroptera
images	23569791_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23569791_aug.jpg	1002	737	259	43	884	667				Chiroptera
images	23569893_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23569893_aug.jpg	2036	1532	166	9	1654	1498				Chiroptera
images	23569934_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23569934_aug.jpg	1512	2023	0	0	1512	1975				Chiroptera
images	23570117_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23570117_aug.jpg	2030	1350	617	181	1416	979				Chiroptera
images	23570199_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23570199_aug.jpg	1425	1887	0	0	1425	1761				Chiroptera
images	23570214_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23570214_aug.jpg	2028	1343	293	0	1755	1289				Chiroptera
images	23718570_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23718570_aug.jpg	2037	1155	336	0	1551	1155				Chiroptera
images	23718573_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23718573_aug.jpg	2037	1132	588	0	1682	1132				Chiroptera
images	23718722_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23718722_aug.jpg	2036	1517	37	0	1710	1517				Chiroptera
images	23718728_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23718728_aug.jpg	2031	1513	0	0	1798	1513				Chiroptera
images	23718816_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23718816_aug.jpg	733	475	0	0	733	475				Chiroptera
images	23718823_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23718823_aug.jpg	1007	667	147	0	783	616				Chiroptera
images	23718824_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23718824_aug.jpg	1008	667	61	0	840	667				Chiroptera
images	23718992_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23718992_aug.jpg	737	484	155	0	690	484				Chiroptera
images	23718993_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23718993_aug.jpg	732	484	54	0	588	484				Chiroptera
images	23719076_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23719076_aug.jpg	937	692	91	0	689	692				Chiroptera
images	23719203_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23719203_aug.jpg	1345	1006	128	0	1219	1006				Chiroptera
images	23848416_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23848416_aug.jpg	2025	1141	228	0	1610	1141				Chiroptera
images	23848517_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23848517_aug.jpg	299	205	0	0	268	205				Chiroptera
images	24050038_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24050038_aug.jpg	2026	1142	278	0	1684	1142				Chiroptera
images	24066984_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24066984_aug.jpg	1488	2003	275	0	1235	809				Chiroptera
images	24233704_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24233704_aug.jpg	676	1011	76	161	642	728				Chiroptera
images	24234361_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234361_aug.jpg	1587	1184	308	0	1423	1091				Chiroptera
images	24234746_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234746_aug.jpg	615	456	85	43	485	442				Chiroptera
images	24234747_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234747_aug.jpg	630	460	57	0	592	460				Chiroptera
images	24234748_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234748_aug.jpg	617	468	99	0	588	468				Chiroptera
images	24234749_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234749_aug.jpg	621	456	68	0	552	456				Chiroptera
images	24234750_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234750_aug.jpg	611	476	47	0	530	454				Chiroptera
images	24234751_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234751_aug.jpg	628	456	69	0	566	456				Chiroptera
images	24234752_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234752_aug.jpg	623	459	0	0	623	459				Chiroptera
images	24234753_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234753_aug.jpg	627	463	0	0	615	463				Chiroptera
images	24234754_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234754_aug.jpg	622	470	63	0	549	470				Chiroptera
images	24234755_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234755_aug.jpg	625	476	0	0	625	476				Chiroptera
images	24234756_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234756_aug.jpg	616	470	0	0	616	470				Chiroptera
images	24234757_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234757_aug.jpg	622	462	43	0	578	462				Chiroptera
images	24234761_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234761_aug.jpg	464	622	0	0	464	622				Chiroptera
images	24234762_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234762_aug.jpg	626	470	41	0	493	470				Chiroptera
images	24234763_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234763_aug.jpg	633	465	43	0	540	465				Chiroptera
images	24234764_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234764_aug.jpg	621	458	22	0	587	458				Chiroptera
images	24234767_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234767_aug.jpg	470	625	0	47	470	582				Chiroptera
images	24234768_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234768_aug.jpg	629	466	77	0	592	466				Chiroptera
images	24234769_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234769_aug.jpg	619	462	26	0	542	462				Chiroptera
images	24234770_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234770_aug.jpg	617	479	114	25	532	444				Chiroptera
images	24234780_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234780_aug.jpg	458	621	0	0	458	621				Chiroptera
images	24234792_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234792_aug.jpg	769	586	0	0	769	586				Chiroptera
images	24234796_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234796_aug.jpg	462	637	0	59	462	549				Chiroptera
images	24234797_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24234797_aug.jpg	616	450	3	0	495	449				Chiroptera
images	24623960_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24623960_aug.jpg	2035	1523	317	0	1986	1523				Chiroptera
images	24623961_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24623961_aug.jpg	2030	1522	29	0	1874	1522				Chiroptera
images	24624732_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24624732_aug.jpg	2029	1351	757	275	1284	802				Chiroptera
images	24624957_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24624957_aug.jpg	761	987	0	119	761	948				Chiroptera
images	24624964_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24624964_aug.jpg	740	1009	0	39	740	942				Chiroptera
images	24625306_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24625306_aug.jpg	699	513	53	0	666	513				Chiroptera
images	24626069_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24626069_aug.jpg	994	760	154	0	870	631				Chiroptera
images	24731207_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24731207_aug.jpg	2036	1532	823	607	1227	1011				Chiroptera
images	24761306_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24761306_aug.jpg	449	621	0	55	449	573				Chiroptera
images	24761307_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24761307_aug.jpg	461	626	0	60	461	587				Chiroptera
images	24763020_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24763020_aug.jpg	1521	2036	0	113	1521	1841				Chiroptera
images	24763095_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24763095_aug.jpg	1584	1045	832	381	1170	719				Chiroptera
images	24763313_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24763313_aug.jpg	2032	1349	754	247	1263	756				Chiroptera
images	24798789_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798789_aug.jpg	1098	713	339	134	721	515				Chiroptera
images	24798796_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798796_aug.jpg	1105	733	171	0	943	733				Chiroptera
images	24798797_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798797_aug.jpg	725	1086	0	0	725	1086				Chiroptera
images	24798798_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798798_aug.jpg	1099	714	0	0	904	714				Chiroptera
images	24798799_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798799_aug.jpg	1085	715	120	0	850	696				Chiroptera
images	24798800_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798800_aug.jpg	713	1093	0	163	713	955				Chiroptera
images	24798801_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798801_aug.jpg	1042	1385	0	198	1042	1215				Chiroptera
images	24798802_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798802_aug.jpg	1041	1393	0	0	1041	1115				Chiroptera
images	24798803_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798803_aug.jpg	1033	1380	0	266	1033	1352				Chiroptera
images	24798804_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798804_aug.jpg	1038	1388	0	0	1038	1137				Chiroptera
images	24798807_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798807_aug.jpg	866	1315	40	71	481	513				Chiroptera
images	24798808_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798808_aug.jpg	1371	763	110	0	936	763				Chiroptera
images	24798809_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798809_aug.jpg	764	1375	0	302	764	1147				Chiroptera
images	24798810_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798810_aug.jpg	949	1260	0	0	949	1193				Chiroptera
images	24798811_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798811_aug.jpg	1263	943	428	40	1235	847				Chiroptera
images	24798812_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798812_aug.jpg	1302	868	214	0	1290	868				Chiroptera
images	24798813_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798813_aug.jpg	861	1314	74	242	667	835				Chiroptera
images	24798814_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798814_aug.jpg	859	1308	84	369	805	1090				Chiroptera
images	24798815_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798815_aug.jpg	833	613	0	0	833	613				Chiroptera
images	24798816_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798816_aug.jpg	904	581	0	0	757	581				Chiroptera
images	24798817_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798817_aug.jpg	849	594	85	0	757	594				Chiroptera
images	24798818_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798818_aug.jpg	591	914	0	72	591	879				Chiroptera
images	24798820_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798820_aug.jpg	924	597	119	0	738	597				Chiroptera
images	24798821_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798821_aug.jpg	243	405	0	105	243	384				Chiroptera
images	24798822_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798822_aug.jpg	595	884	0	96	595	875				Chiroptera
images	24798823_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798823_aug.jpg	923	589	0	0	923	589				Chiroptera
images	24798824_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798824_aug.jpg	587	936	0	0	587	936				Chiroptera
images	24798825_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798825_aug.jpg	906	564	165	0	902	564				Chiroptera
images	24798826_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798826_aug.jpg	925	579	193	0	832	579				Chiroptera
images	24798827_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798827_aug.jpg	879	455	283	0	853	455				Chiroptera
