measurementType,measurementTypeURL,measurementValue,measurementValueURL,measurementRemarks
Functional group,http://rs.tdwg.org/dwc/terms/habitat,edaphofauna,http://purl.obolibrary.org/obo/ENVO_00001998,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,epibenthos,http://www.wikidata.org/entity/Q640114,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,hyperbenthos,http://eol.org/schema/terms/nektobenthic,
Functional group,http://rs.tdwg.org/dwc/terms/habitat,land (terrestrial),http://purl.obolibrary.org/obo/ENVO_00000446,
Functional group,http://rs.tdwg.org/dwc/terms/habitat,macrobenthos,http://purl.obolibrary.org/obo/ENVO_01000024,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,nekton,http://www.marinespecies.org/traits/Nekton,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,neuston,https://eol.org/schema/terms/neuston,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,phytoplankton,http://www.marinespecies.org/traits/Plankton,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,plankton,http://www.marinespecies.org/traits/Plankton,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,zooplankton,http://www.marinespecies.org/traits/Plankton,
Paraphyletic group,http://eol.org/schema/terms/EcomorphologicalGuild,Algae,https://www.wikidata.org/entity/Q37868,
Paraphyletic group,http://eol.org/schema/terms/growthHabit,Macroalgae,http://purl.obolibrary.org/obo/OMIT_0013523,
Paraphyletic group,http://eol.org/schema/terms/EcomorphologicalGuild,Mangroves,http://eol.org/schema/terms/mangroves,
Supporting structure & enclosure,http://www.marinespecies.org/traits/SupportingStructuresEnclosures,Endoskeleton,http://purl.obolibrary.org/obo/UBERON_0010362,
Supporting structure & enclosure,http://www.marinespecies.org/traits/SupportingStructuresEnclosures,Exoskeleton (including shells),http://purl.obolibrary.org/obo/UBERON_0006611,
Supporting structure & enclosure,http://www.marinespecies.org/traits/SupportingStructuresEnclosures,External tube,http://www.marinespecies.org/traits/ExternalTube,
Supporting structure & enclosure,http://www.marinespecies.org/traits/SupportingStructuresEnclosures,Hydrostatic skeleton,http://www.marinespecies.org/traits/Hydrostatic,
Supporting structure & enclosure > Structure,http://purl.obolibrary.org/obo/OBA_0002342,Non-solid> cement,http://www.marinespecies.org/traits/NonSolidCement,
Supporting structure & enclosure > Structure,http://purl.obolibrary.org/obo/OBA_0002342,Non-solid> particles,http://www.marinespecies.org/traits/NonSolidParticlesComp,
Supporting structure & enclosure > Structure,http://purl.obolibrary.org/obo/OBA_0002342,Solid,http://purl.obolibrary.org/obo/PATO_0001485,
Supporting structure & enclosure > Structure,http://purl.obolibrary.org/obo/OBA_0002342,non-solid: cement,http://www.marinespecies.org/traits/NonSolidCement,
Supporting structure & enclosure > Structure,http://purl.obolibrary.org/obo/OBA_0002342,non-solid: particles,http://www.marinespecies.org/traits/NonSolidParticlesComp,
Species importance to society > IUCN Red List Category,http://eol.org/schema/terms/RedListCriteria,conservation dependent,http://eol.org/schema/terms/conservationDependent,
Species importance to society > IUCN Red List Category,http://eol.org/schema/terms/RedListCriteria,critically endangered,http://eol.org/schema/terms/criticallyEndangered,
Species importance to society > IUCN Red List Category,http://eol.org/schema/terms/RedListCriteria,data deficient,http://eol.org/schema/terms/dataDeficient,
Species importance to society > IUCN Red List Category,http://eol.org/schema/terms/RedListCriteria,endangered,http://eol.org/schema/terms/endangered,
Species importance to society > IUCN Red List Category,http://eol.org/schema/terms/RedListCriteria,extinct,http://eol.org/schema/terms/extinct,
Species importance to society > IUCN Red List Category,http://eol.org/schema/terms/RedListCriteria,least concern,http://eol.org/schema/terms/leastConcern,
Species importance to society > IUCN Red List Category,http://eol.org/schema/terms/RedListCriteria,near threatened,http://eol.org/schema/terms/nearThreatened,
Species importance to society > IUCN Red List Category,http://eol.org/schema/terms/RedListCriteria,vulnerable,http://eol.org/schema/terms/vulnerable,
