Scientific name,Common name,Coverage,URL
"Aleurodicus destructor","coconut whitefly",Full,https://www.cabi.org/isc/datasheet/4140/aqb
"Aleurodicus dispersus","whitefly",Full,https://www.cabi.org/isc/datasheet/4141/aqb
"Aleurothrixus floccosus","woolly whitefly",Full,https://www.cabi.org/isc/datasheet/4538/aqb
"Aleurotrachelus atratus","palm-infesting whitefly",Full,https://www.cabi.org/isc/datasheet/112108/aqb
"Alexandrium minutum",,Full,https://www.cabi.org/isc/datasheet/107755/aqb
"Alhagi maurorum","camelthorn",Full,https://www.cabi.org/isc/datasheet/4215/aqb
"Alitta succinea","pile worm",Full,https://www.cabi.org/isc/datasheet/107757/aqb
"Allamanda cathartica","yellow allamanda",Full,https://www.cabi.org/isc/datasheet/4098/aqb
"Alliaria petiolata","garlic mustard",Full,https://www.cabi.org/isc/datasheet/3941/aqb
"Allium porrum","leek",Full,https://www.cabi.org/isc/datasheet/4248/aqb
"Allium vineale","crow garlic",Full,https://www.cabi.org/isc/datasheet/4255/aqb
"Alnus glutinosa","European alder",Full,https://www.cabi.org/isc/datasheet/4574/aqb
"Alocasia macrorrhizos","giant taro",Full,https://www.cabi.org/isc/datasheet/4220/aqb
"Alopecurus myosuroides","black-grass",Full,https://www.cabi.org/isc/datasheet/4360/aqb
"Alopecurus pratensis","meadow foxtail",Full,https://www.cabi.org/isc/datasheet/4361/aqb
"Alopochen aegyptiaca","Egyptian goose",Full,https://www.cabi.org/isc/datasheet/94205/aqb
"Alosa aestivalis","blueback herring",Full,https://www.cabi.org/isc/datasheet/94209/aqb
"Alosa pseudoharengus","alewife",Full,https://www.cabi.org/isc/datasheet/94217/aqb
"Alpinia purpurata","red ginger",Full,https://www.cabi.org/isc/datasheet/4377/aqb
"Alpinia zerumbet","shell ginger",Full,https://www.cabi.org/isc/datasheet/109799/aqb
"Alternanthera philoxeroides","alligator weed",Full,https://www.cabi.org/isc/datasheet/4403/aqb
"Alternanthera sessilis","sessile joyweed",Full,https://www.cabi.org/isc/datasheet/4404/aqb
"Alternaria gaisen","black spot of Japanese pear",Full,https://www.cabi.org/isc/datasheet/4511/aqb
"Alternaria japonica","pod spot of radish",Full,https://www.cabi.org/isc/datasheet/4510/aqb
"Alternaria triticina","leaf blight of wheat",Full,https://www.cabi.org/isc/datasheet/4534/aqb
"Alternaria yali-inficiens","chocolate spot of Ya Li Pear",Full,https://www.cabi.org/isc/datasheet/108065/aqb
"Alysicarpus vaginalis","alyce clover",Full,https://www.cabi.org/isc/datasheet/8097/aqb
"Alyssum desertorum","desert madwort",Full,https://www.cabi.org/isc/datasheet/112171/aqb
"Amaranthus blitum","livid amaranth",Full,https://www.cabi.org/isc/datasheet/4648/aqb
"Amaranthus dubius","leafy amaranth",Full,https://www.cabi.org/isc/datasheet/4646/aqb
"Amaranthus hybridus","smooth pigweed",Full,https://www.cabi.org/isc/datasheet/4643/aqb
"Amaranthus retroflexus","redroot pigweed",Full,https://www.cabi.org/isc/datasheet/4652/aqb
"Amaranthus spinosus","spiny amaranth",Full,https://www.cabi.org/isc/datasheet/4653/aqb
"Amaranthus tuberculatus","rough-fruited water-hemp",Full,https://www.cabi.org/isc/datasheet/112200/aqb
"Amaranthus viridis","slender amaranth",Full,https://www.cabi.org/isc/datasheet/4654/aqb
"Amatitlania nigrofasciata","convict cichlid",Full,https://www.cabi.org/isc/datasheet/112202/aqb
"Ambloplites rupestris","rock bass",Full,https://www.cabi.org/isc/datasheet/94435/aqb
"Ambrosia artemisiifolia","common ragweed",Full,https://www.cabi.org/isc/datasheet/4691/aqb
"Ambrosia psilostachya","perennial ragweed",Full,https://www.cabi.org/isc/datasheet/4692/aqb
"Ambrosia trifida","giant ragweed",Full,https://www.cabi.org/isc/datasheet/4693/aqb
"Ameiurus melas","black bullhead",Full,https://www.cabi.org/isc/datasheet/94466/aqb
"Ameiurus natalis",,Full,https://www.cabi.org/isc/datasheet/94467/aqb
"Ameiurus nebulosus","brown bullhead",Full,https://www.cabi.org/isc/datasheet/94468/aqb
"Amelanchier lamarckii","snowy mespilus",Full,https://www.cabi.org/isc/datasheet/4831/aqb
"Amelanchier spicata","dwarf serviceberry",Full,https://www.cabi.org/isc/datasheet/4836/aqb
"American foulbrood of honey bees",,Full,https://www.cabi.org/isc/datasheet/78183/aqb
"Ammophila arenaria","marram grass",Full,https://www.cabi.org/isc/datasheet/4898/aqb
"Ammotragus lervia","aoudad",Full,https://www.cabi.org/isc/datasheet/94507/aqb
"Ampelopsis arborea","peppervine",Full,https://www.cabi.org/isc/datasheet/4814/aqb
"Amphibalanus improvisus","bay barnacle",Full,https://www.cabi.org/isc/datasheet/91903/aqb
"Amphisbaena fuliginosa","speckled worm lizard",Full,https://www.cabi.org/isc/datasheet/119363/aqb
"Amylostereum areolatum",,Full,https://www.cabi.org/isc/datasheet/108964/aqb
"Anagallis arvensis","scarlet pimpernel",Full,https://www.cabi.org/isc/datasheet/5352/aqb
"Anaplasma centrale",,Full,https://www.cabi.org/isc/datasheet/94680/aqb
"Anaplasma marginale",,Full,https://www.cabi.org/isc/datasheet/94684/aqb
"Anaplasma mesaeterum",,Full,https://www.cabi.org/isc/datasheet/94681/aqb
"Anaplasma ovis",,Full,https://www.cabi.org/isc/datasheet/94683/aqb
"anaplasmosis",,Full,https://www.cabi.org/isc/datasheet/94682/aqb
"Anastrepha fraterculus","South American fruit fly",Full,https://www.cabi.org/isc/datasheet/5648/aqb
"Anastrepha grandis","South American cucurbit fruit fly",Full,https://www.cabi.org/isc/datasheet/5649/aqb
"Anastrepha ludens","Mexican fruit fly",Full,https://www.cabi.org/isc/datasheet/5654/aqb
"Anastrepha obliqua","West Indian fruit fly",Full,https://www.cabi.org/isc/datasheet/5659/aqb
"Anastrepha serpentina","sapodilla fruit fly",Full,https://www.cabi.org/isc/datasheet/5665/aqb
"Anastrepha striata","guava fruit fly",Full,https://www.cabi.org/isc/datasheet/5667/aqb
"Anastrepha suspensa","Caribbean fruit fly",Full,https://www.cabi.org/isc/datasheet/5668/aqb
"anchor worm disease",,Full,https://www.cabi.org/isc/datasheet/94758/aqb
"Andropogon glomeratus","bushy bluestem",Full,https://www.cabi.org/isc/datasheet/118977/aqb
"Andropogon virginicus","broomsedge",Full,https://www.cabi.org/isc/datasheet/5286/aqb
"Anethum graveolens","dill",Full,https://www.cabi.org/isc/datasheet/3472/aqb
"Anguillicoloides crassus",,Full,https://www.cabi.org/isc/datasheet/93709/aqb
"anguillicolosis",,Full,https://www.cabi.org/isc/datasheet/109355/aqb
"Animal production (pathway cause)",,Full,https://www.cabi.org/isc/datasheet/108068/aqb
"Annona cherimola","cherimoya",Full,https://www.cabi.org/isc/datasheet/5806/aqb
"Annona glabra","pond apple",Full,https://www.cabi.org/isc/datasheet/5811/aqb
"Annona muricata","soursop",Full,https://www.cabi.org/isc/datasheet/5812/aqb
"Annona reticulata","bullock's heart",Full,https://www.cabi.org/isc/datasheet/5816/aqb
"Annona squamosa","sugar apple",Full,https://www.cabi.org/isc/datasheet/5820/aqb
"Anolis aeneus","bronze anole",Full,https://www.cabi.org/isc/datasheet/5489/aqb
"Anolis cristatellus","Puerto Rican crested anole",Full,https://www.cabi.org/isc/datasheet/93810/aqb
"Anolis extremus",,,https://www.cabi.org/isc/datasheet/112276/aqb
"Anolis sagrei",,,https://www.cabi.org/isc/datasheet/107830/aqb
"Anolis trinitatis","St Vincent bush anole",Full,https://www.cabi.org/isc/datasheet/93831/aqb
"Anolis wattsi",,,https://www.cabi.org/isc/datasheet/112283/aqb
"Anopheles quadrimaculatus","common malaria mosquito",Full,https://www.cabi.org/isc/datasheet/94031/aqb
"Anoplolepis gracilipes","yellow crazy ant",Full,https://www.cabi.org/isc/datasheet/5575/aqb
"Anoplophora chinensis","black and white citrus longhorn",Full,https://www.cabi.org/isc/datasheet/5556/aqb
"Anoplophora glabripennis","Asian longhorned beetle",Full,https://www.cabi.org/isc/datasheet/5557/aqb
"Anredera baselloides","Madeira vine",Full,https://www.cabi.org/isc/datasheet/120417/aqb
"Anredera cordifolia","Madeira vine",Full,https://www.cabi.org/isc/datasheet/112290/aqb
"Anser indicus","bar-headed goose",Full,https://www.cabi.org/isc/datasheet/94089/aqb
"Anthemis cotula","dog fennel",Full,https://www.cabi.org/isc/datasheet/5672/aqb
"Anthonomus grandis","Mexican cotton boll weevil",Full,https://www.cabi.org/isc/datasheet/5735/aqb
"Anthoxanthum odoratum","sweet vernal grass",Full,https://www.cabi.org/isc/datasheet/93023/aqb
"anthrax",,Full,https://www.cabi.org/isc/datasheet/94131/aqb
"Antigonon leptopus","coral vine",Full,https://www.cabi.org/isc/datasheet/112316/aqb
"Aonidiella aurantii","red scale",Full,https://www.cabi.org/isc/datasheet/5849/aqb
"Aonidiella orientalis","oriental yellow scale",Full,https://www.cabi.org/isc/datasheet/5852/aqb
"Aonidomytilus albus","tapioca scale",Full,https://www.cabi.org/isc/datasheet/5854/aqb
"Aphanomyces astaci",,Full,https://www.cabi.org/isc/datasheet/93177/aqb
"Aphelenchoides arachidis","groundnut testa nematode",Full,https://www.cabi.org/isc/datasheet/6377/aqb
"Aphelenchoides besseyi","rice leaf nematode",Full,https://www.cabi.org/isc/datasheet/6378/aqb
"Aphelenchoides fragariae","strawberry crimp nematode",Full,https://www.cabi.org/isc/datasheet/6381/aqb
"Aphelenchoides ritzemabosi","Chrysanthemum foliar eelworm",Full,https://www.cabi.org/isc/datasheet/6384/aqb
"Aphis craccivora","groundnut aphid",Full,https://www.cabi.org/isc/datasheet/6192/aqb
"Aphis gossypii","cotton aphid",Full,https://www.cabi.org/isc/datasheet/6204/aqb
"Aphis spiraecola","Spirea aphid",Full,https://www.cabi.org/isc/datasheet/6221/aqb
"Apiognomonia errabunda","anthracnose",Full,https://www.cabi.org/isc/datasheet/25541/aqb
"Apiognomonia erythrostoma","cherry leaf scorch",Full,https://www.cabi.org/isc/datasheet/25542/aqb
"Apis mellifera scutellata","africanized bee",Full,https://www.cabi.org/isc/datasheet/6362/aqb
"Aquarium trade (pathway cause)",,Full,https://www.cabi.org/isc/datasheet/107786/aqb
"Aquila chrysaetos","Golden eagle",Full,https://www.cabi.org/isc/datasheet/93340/aqb
"Arceuthobium abietinum","fir dwarf mistletoe",Full,https://www.cabi.org/isc/datasheet/6823/aqb
"Arceuthobium americanum","lodgepole pine dwarf mistletoe",Full,https://www.cabi.org/isc/datasheet/6824/aqb
"Arceuthobium campylopodum","western dwarf misletoe",Full,https://www.cabi.org/isc/datasheet/6831/aqb
"Arceuthobium douglasii","Douglas-fir dwarf mistletoe",Full,https://www.cabi.org/isc/datasheet/6834/aqb
"Arceuthobium laricis","larch dwarf mistletoe",Full,https://www.cabi.org/isc/datasheet/6843/aqb
"Arceuthobium minutissimum","Himalayan dwarf mistletoe",Full,https://www.cabi.org/isc/datasheet/6845/aqb
"Arceuthobium oxycedri","juniper dwarf mistletoe",Full,https://www.cabi.org/isc/datasheet/6851/aqb
"Arceuthobium pusillum","eastern dwarf mistletoe",Full,https://www.cabi.org/isc/datasheet/6853/aqb
"Arceuthobium tsugense","hemlock dwarf mistletoe",Full,https://www.cabi.org/isc/datasheet/6857/aqb
"Arceuthobium vaginatum","southwestern dwarf mistletoe",Full,https://www.cabi.org/isc/datasheet/6859/aqb
"Archips fuscocupreanus",,Full,https://www.cabi.org/isc/datasheet/6742/aqb
"Arctotheca calendula","capeweed",Full,https://www.cabi.org/isc/datasheet/6729/aqb
"Arcuatula senhousia","Asian date mussel",Full,https://www.cabi.org/isc/datasheet/107753/aqb
"Ardisia crenata","coral berry",Full,https://www.cabi.org/isc/datasheet/119055/aqb
"Ardisia elliptica","shoebutton ardisia",Full,https://www.cabi.org/isc/datasheet/108066/aqb
"Argemone mexicana","Mexican poppy",Full,https://www.cabi.org/isc/datasheet/6878/aqb
"Argemone ochroleuca","pale Mexican pricklypoppy",Full,https://www.cabi.org/isc/datasheet/112405/aqb
"Arion vulgaris","Spanish slug",Full,https://www.cabi.org/isc/datasheet/6963/aqb
"Aristichthys nobilis","bighead carp",Full,https://www.cabi.org/isc/datasheet/92426/aqb
"Aristolochia elegans","elegant Dutchman’s pipe",Full,https://www.cabi.org/isc/datasheet/120156/aqb
"Aristolochia ringens","Dutchman’s pipe",Full,https://www.cabi.org/isc/datasheet/119795/aqb
"Arkoola nigra","black leaf blight of soybean",Full,https://www.cabi.org/isc/datasheet/109177/aqb
"Armillaria luteobubalina","armillaria root rot",Full,https://www.cabi.org/isc/datasheet/7000/aqb
"Aromia bungii","red necked longicorn",Full,https://www.cabi.org/isc/datasheet/118984/aqb
"Aronia x prunifolia",,Full,https://www.cabi.org/isc/datasheet/108963/aqb
"Arrhenatherum elatius","false oat-grass",Full,https://www.cabi.org/isc/datasheet/7065/aqb
"Artemia","brine shrimp",Full,https://www.cabi.org/isc/datasheet/103886/aqb
"Artemisia biennis","biennial wormwood",Full,https://www.cabi.org/isc/datasheet/112441/aqb
"Arterivirus",,Full,https://www.cabi.org/isc/datasheet/68598/aqb
"Arthraxon hispidus","small carpetgrass",Full,https://www.cabi.org/isc/datasheet/112458/aqb
"Arthurdendyus triangulatus","New Zealand flatworm",Full,https://www.cabi.org/isc/datasheet/109121/aqb
"Artocarpus altilis","breadfruit",Full,https://www.cabi.org/isc/datasheet/1822/aqb
"Arundo donax","giant reed",Full,https://www.cabi.org/isc/datasheet/1940/aqb
"Ascidiella aspersa","European sea squirt",Full,https://www.cabi.org/isc/datasheet/92557/aqb
"Asclepias curassavica","bloodflower",Full,https://www.cabi.org/isc/datasheet/7248/aqb
"Asclepias syriaca","common milkweed",Full,https://www.cabi.org/isc/datasheet/7249/aqb
"Asparagus asparagoides","bridal creeper",Full,https://www.cabi.org/isc/datasheet/8139/aqb
"Asparagus densiflorus","asparagus fern",Full,https://www.cabi.org/isc/datasheet/7410/aqb
"Asphodelus tenuifolius","onionweed",Full,https://www.cabi.org/isc/datasheet/7377/aqb
"Aspidiotus destructor","coconut scale",Full,https://www.cabi.org/isc/datasheet/7415/aqb
"Aspius aspius","asp",Full,https://www.cabi.org/isc/datasheet/92623/aqb
"Astacus astacus","European crayfish",Full,https://www.cabi.org/isc/datasheet/92629/aqb
"Astatoreochromis alluaudi","Alluaud's haplo",Full,https://www.cabi.org/isc/datasheet/120150/aqb
"Asterias amurensis","northern Pacific seastar",Full,https://www.cabi.org/isc/datasheet/92632/aqb
"Astronotus ocellatus","oscar",Full,https://www.cabi.org/isc/datasheet/92671/aqb
"Asystasia gangetica","chinese violet",Full,https://www.cabi.org/isc/datasheet/7641/aqb
"Atriplex argentea","silverscale saltbush",Full,https://www.cabi.org/isc/datasheet/119057/aqb
"Atriplex semibaccata","Australian saltbush",Full,https://www.cabi.org/isc/datasheet/7903/aqb
"Aujeszky's disease",,Full,https://www.cabi.org/isc/datasheet/92832/aqb
"Aulacaspis yasumatsui","cycad aulacaspis scale",Full,https://www.cabi.org/isc/datasheet/18756/aqb
"Austrominius modestus",,Full,https://www.cabi.org/isc/datasheet/109096/aqb
"Austropotamobius pallipes","freshwater white-clawed crayfish",Full,https://www.cabi.org/isc/datasheet/92882/aqb
"Avena barbata","slender oat",Full,https://www.cabi.org/isc/datasheet/8057/aqb
"Avena fatua","wild oat",Full,https://www.cabi.org/isc/datasheet/8058/aqb
"Avena sterilis","winter wild oat",Full,https://www.cabi.org/isc/datasheet/8062/aqb
"Averrhoa bilimbi","bilimbi",Full,https://www.cabi.org/isc/datasheet/8081/aqb
"Averrhoa carambola","carambola",Full,https://www.cabi.org/isc/datasheet/8082/aqb
"avian chlamydiosis",,Full,https://www.cabi.org/isc/datasheet/92909/aqb
"avian infectious bronchitis",,Full,https://www.cabi.org/isc/datasheet/92907/aqb
"avian infectious bronchitis virus",,Full,https://www.cabi.org/isc/datasheet/92904/aqb
"avian influenza",,Full,https://www.cabi.org/isc/datasheet/92912/aqb
"avian metapneumovirus",,Full,https://www.cabi.org/isc/datasheet/92920/aqb
"avian mycoplasmosis (Mycoplasma gallisepticum)",,Full,https://www.cabi.org/isc/datasheet/92922/aqb
"avian mycoplasmosis (Mycoplasma synoviae)",,Full,https://www.cabi.org/isc/datasheet/74552/aqb
"avipox",,Full,https://www.cabi.org/isc/datasheet/109699/aqb
"Avipoxvirus",,Full,https://www.cabi.org/isc/datasheet/104014/aqb
"Axis axis","Indian spotted deer",Full,https://www.cabi.org/isc/datasheet/89941/aqb
"Axonopus compressus","carpet grass",Full,https://www.cabi.org/isc/datasheet/8094/aqb
"Axonopus fissifolius",,Full,https://www.cabi.org/isc/datasheet/112632/aqb
"Azadirachta indica","neem tree",Full,https://www.cabi.org/isc/datasheet/8112/aqb
"Azolla filiculoides","water fern",Full,https://www.cabi.org/isc/datasheet/8119/aqb
"Azolla pinnata","mosquito fern",Full,https://www.cabi.org/isc/datasheet/8120/aqb
"Babesia bigemina",,Full,https://www.cabi.org/isc/datasheet/92968/aqb
"Babesia bovis",,Full,https://www.cabi.org/isc/datasheet/92969/aqb
"Babesia caballi",,Full,https://www.cabi.org/isc/datasheet/92970/aqb
"Babesia canis",,Full,https://www.cabi.org/isc/datasheet/92971/aqb
"Babesia divergens",,Full,https://www.cabi.org/isc/datasheet/92973/aqb
"Babesia equi",,Full,https://www.cabi.org/isc/datasheet/92974/aqb
"Babesia gibsoni",,Full,https://www.cabi.org/isc/datasheet/92976/aqb
"Babesia motasi",,Full,https://www.cabi.org/isc/datasheet/92980/aqb
"Babesia ovis",,Full,https://www.cabi.org/isc/datasheet/92984/aqb
"Babesia trautmanni",,Full,https://www.cabi.org/isc/datasheet/92994/aqb
"babesiosis",,Full,https://www.cabi.org/isc/datasheet/91723/aqb
"Baccharis halimifolia","groundsel-bush",Full,https://www.cabi.org/isc/datasheet/8164/aqb
"Baccharis pilularis","coyote brush",Full,https://www.cabi.org/isc/datasheet/8167/aqb
"Bacillus anthracis",,Full,https://www.cabi.org/isc/datasheet/91844/aqb
"bacterial kidney disease",,Full,https://www.cabi.org/isc/datasheet/91845/aqb
"Bactericera cockerelli","tomato/potato psyllid",Full,https://www.cabi.org/isc/datasheet/45643/aqb
"Bactrocera carambolae","carambola fruit fly",Full,https://www.cabi.org/isc/datasheet/8700/aqb
"Bactrocera caryeae",,Full,https://www.cabi.org/isc/datasheet/8699/aqb
"Bactrocera correcta","guava fruit fly",Full,https://www.cabi.org/isc/datasheet/8703/aqb
"Bactrocera cucurbitae","melon fly",Full,https://www.cabi.org/isc/datasheet/17683/aqb
"Bactrocera dorsalis","Oriental fruit fly",Full,https://www.cabi.org/isc/datasheet/17685/aqb
"Bactrocera facialis",,Full,https://www.cabi.org/isc/datasheet/8710/aqb
"Bactrocera frauenfeldi","mango fruit fly",Full,https://www.cabi.org/isc/datasheet/8712/aqb
"Bactrocera kirki",,Full,https://www.cabi.org/isc/datasheet/8717/aqb
"Bactrocera latifrons","Solanum fruit fly",Full,https://www.cabi.org/isc/datasheet/8719/aqb
"Bactrocera minax","Chinese citrus fly",Full,https://www.cabi.org/isc/datasheet/8726/aqb
"Bactrocera neohumeralis",,Full,https://www.cabi.org/isc/datasheet/8727/aqb
"Bactrocera oleae","olive fruit fly",Full,https://www.cabi.org/isc/datasheet/17689/aqb
"Bactrocera passiflorae","Fijian fruit fly",Full,https://www.cabi.org/isc/datasheet/8731/aqb
"Bactrocera psidii","South Sea guava fruit fly",Full,https://www.cabi.org/isc/datasheet/8734/aqb
"Bactrocera tau",,Full,https://www.cabi.org/isc/datasheet/8741/aqb
"Bactrocera tryoni","Queensland fruit fly",Full,https://www.cabi.org/isc/datasheet/17693/aqb
"Bactrocera umbrosa",,Full,https://www.cabi.org/isc/datasheet/8747/aqb
"Bactrocera xanthodes","Pacific fruit fly",Full,https://www.cabi.org/isc/datasheet/8748/aqb
"Bactrocera zonata","peach fruit fly",Full,https://www.cabi.org/isc/datasheet/17694/aqb
